Geography,Date,Type,Percent Change from Baseline,ID Geography
Illinois,2/15/20,Retail and Recreation,4,04000US17
Illinois,2/16/20,Retail and Recreation,8,04000US17
Illinois,2/17/20,Retail and Recreation,2,04000US17
Illinois,2/18/20,Retail and Recreation,1,04000US17
Illinois,2/19/20,Retail and Recreation,1,04000US17
Illinois,2/20/20,Retail and Recreation,0,04000US17
Illinois,2/21/20,Retail and Recreation,2,04000US17
Illinois,2/22/20,Retail and Recreation,11,04000US17
Illinois,2/23/20,Retail and Recreation,11,04000US17
Illinois,2/24/20,Retail and Recreation,1,04000US17
Illinois,2/25/20,Retail and Recreation,-1,04000US17
Illinois,2/26/20,Retail and Recreation,0,04000US17
Illinois,2/27/20,Retail and Recreation,6,04000US17
Illinois,2/28/20,Retail and Recreation,6,04000US17
Illinois,2/29/20,Retail and Recreation,14,04000US17
Illinois,3/1/20,Retail and Recreation,17,04000US17
Illinois,3/2/20,Retail and Recreation,8,04000US17
Illinois,3/3/20,Retail and Recreation,10,04000US17
Illinois,3/4/20,Retail and Recreation,9,04000US17
Illinois,3/5/20,Retail and Recreation,7,04000US17
Illinois,3/6/20,Retail and Recreation,6,04000US17
Illinois,3/7/20,Retail and Recreation,14,04000US17
Illinois,3/8/20,Retail and Recreation,15,04000US17
Illinois,3/9/20,Retail and Recreation,-1,04000US17
Illinois,3/10/20,Retail and Recreation,7,04000US17
Illinois,3/11/20,Retail and Recreation,6,04000US17
Illinois,3/12/20,Retail and Recreation,7,04000US17
Illinois,3/13/20,Retail and Recreation,5,04000US17
Illinois,3/14/20,Retail and Recreation,-7,04000US17
Illinois,3/15/20,Retail and Recreation,-8,04000US17
Illinois,3/16/20,Retail and Recreation,-10,04000US17
Illinois,3/17/20,Retail and Recreation,-23,04000US17
Illinois,3/18/20,Retail and Recreation,-34,04000US17
Illinois,3/19/20,Retail and Recreation,-34,04000US17
Illinois,3/20/20,Retail and Recreation,-33,04000US17
Illinois,3/21/20,Retail and Recreation,-46,04000US17
Illinois,3/22/20,Retail and Recreation,-63,04000US17
Illinois,3/23/20,Retail and Recreation,-50,04000US17
Illinois,3/24/20,Retail and Recreation,-47,04000US17
Illinois,3/25/20,Retail and Recreation,-43,04000US17
Illinois,3/26/20,Retail and Recreation,-47,04000US17
Illinois,3/27/20,Retail and Recreation,-48,04000US17
Illinois,3/28/20,Retail and Recreation,-53,04000US17
Illinois,3/29/20,Retail and Recreation,-53,04000US17
Illinois,3/30/20,Retail and Recreation,-43,04000US17
Illinois,3/31/20,Retail and Recreation,-44,04000US17
Illinois,4/1/20,Retail and Recreation,-41,04000US17
Illinois,4/2/20,Retail and Recreation,-42,04000US17
Illinois,4/3/20,Retail and Recreation,-43,04000US17
Illinois,4/4/20,Retail and Recreation,-51,04000US17
Illinois,4/5/20,Retail and Recreation,-50,04000US17
Illinois,4/6/20,Retail and Recreation,-44,04000US17
Illinois,4/7/20,Retail and Recreation,-41,04000US17
Illinois,4/8/20,Retail and Recreation,-44,04000US17
Illinois,4/9/20,Retail and Recreation,-44,04000US17
Illinois,4/10/20,Retail and Recreation,-44,04000US17
Illinois,4/11/20,Retail and Recreation,-46,04000US17
Illinois,4/12/20,Retail and Recreation,-64,04000US17
Illinois,4/13/20,Retail and Recreation,-46,04000US17
Illinois,4/14/20,Retail and Recreation,-45,04000US17
Illinois,4/15/20,Retail and Recreation,-41,04000US17
Illinois,4/16/20,Retail and Recreation,-40,04000US17
Illinois,4/17/20,Retail and Recreation,-47,04000US17
Illinois,4/18/20,Retail and Recreation,-42,04000US17
Illinois,4/19/20,Retail and Recreation,-43,04000US17
Illinois,4/20/20,Retail and Recreation,-37,04000US17
Illinois,4/21/20,Retail and Recreation,-38,04000US17
Illinois,4/22/20,Retail and Recreation,-40,04000US17
Illinois,4/23/20,Retail and Recreation,-41,04000US17
Illinois,4/24/20,Retail and Recreation,-42,04000US17
Illinois,4/25/20,Retail and Recreation,-48,04000US17
Illinois,4/26/20,Retail and Recreation,-39,04000US17
Illinois,4/27/20,Retail and Recreation,-37,04000US17
Illinois,4/28/20,Retail and Recreation,-36,04000US17
Illinois,4/29/20,Retail and Recreation,-41,04000US17
Illinois,4/30/20,Retail and Recreation,-35,04000US17
Illinois,5/1/20,Retail and Recreation,-34,04000US17
Illinois,5/2/20,Retail and Recreation,-35,04000US17
Illinois,5/3/20,Retail and Recreation,-35,04000US17
Illinois,5/4/20,Retail and Recreation,-33,04000US17
Illinois,5/5/20,Retail and Recreation,-34,04000US17
Illinois,5/6/20,Retail and Recreation,-32,04000US17
Illinois,5/7/20,Retail and Recreation,-32,04000US17
Illinois,5/8/20,Retail and Recreation,-36,04000US17
Illinois,5/9/20,Retail and Recreation,-32,04000US17
Illinois,5/10/20,Retail and Recreation,-38,04000US17
Illinois,5/11/20,Retail and Recreation,-36,04000US17
Illinois,5/12/20,Retail and Recreation,-32,04000US17
Illinois,5/13/20,Retail and Recreation,-31,04000US17
Illinois,5/14/20,Retail and Recreation,-37,04000US17
Illinois,5/15/20,Retail and Recreation,-34,04000US17
Illinois,5/16/20,Retail and Recreation,-35,04000US17
Illinois,5/17/20,Retail and Recreation,-46,04000US17
Illinois,5/18/20,Retail and Recreation,-31,04000US17
Illinois,5/19/20,Retail and Recreation,-33,04000US17
Illinois,5/20/20,Retail and Recreation,-28,04000US17
Illinois,5/21/20,Retail and Recreation,-29,04000US17
Illinois,5/22/20,Retail and Recreation,-30,04000US17
Illinois,5/23/20,Retail and Recreation,-34,04000US17
Illinois,5/24/20,Retail and Recreation,-30,04000US17
Illinois,5/25/20,Retail and Recreation,-33,04000US17
Illinois,5/26/20,Retail and Recreation,-27,04000US17
Illinois,5/27/20,Retail and Recreation,-27,04000US17
Illinois,5/28/20,Retail and Recreation,-28,04000US17
Illinois,5/29/20,Retail and Recreation,-25,04000US17
Illinois,5/30/20,Retail and Recreation,-26,04000US17
Illinois,5/31/20,Retail and Recreation,-30,04000US17
Illinois,6/1/20,Retail and Recreation,-27,04000US17
Illinois,6/2/20,Retail and Recreation,-24,04000US17
Illinois,6/3/20,Retail and Recreation,-21,04000US17
Illinois,6/4/20,Retail and Recreation,-20,04000US17
Illinois,6/5/20,Retail and Recreation,-22,04000US17
Illinois,6/6/20,Retail and Recreation,-23,04000US17
Illinois,6/7/20,Retail and Recreation,-21,04000US17
Illinois,6/8/20,Retail and Recreation,-17,04000US17
Illinois,6/9/20,Retail and Recreation,-22,04000US17
Illinois,6/10/20,Retail and Recreation,-18,04000US17
Illinois,6/11/20,Retail and Recreation,-15,04000US17
